questions,answers
什么是直线电动机进给系统，它的应用受到什么限制？,直线电动机是指可以直接产生直线运动的电动机，可作为进给驱动系统。直线电动机的雏形在世界上出现了旋转电动机不久之后就出现了，但受制造技术水平和应用能力的限制，一直未能作为驱动电动机使用。在常规的铣床进给系统中，一直采用“旋转电动机+滚珠丝杠”的传动体系。
为什么直线电动机在超高速加工技术领域有应用？,随着近几年来超高速加工技术的发展，滚珠丝杠机构已不能满足高速度和高加速度的要求，直线电动机有了用武之地。
什么技术的发展为直线电动机在高速数控铣床中的应用提供了条件？,大功率电子器件、新型交流变频调速技术、微型计算机数控技术和现代控制理论的发展为直线电动机在高速数控铣床中的应用提供了条件。
直线电动机的工作原理与旋转电动机相比有什么区别？,直线电动机的工作原理与旋转电动机相比并没有本质的区别，可以将其视为旋转电动机沿圆周方向拉开展平的产物。
直线电动机可以分为哪三大类？,直线电动机可以分为直流直线电动机、步进直线电动机和交流直线电动机三大类。
在铣床上主要使用哪种交流直线电动机？,在铣床上主要使用交流直线电动机。
交流直线电动机可以分为哪两种励磁方式？,交流直线电动机可以分为永磁（同步）式和感应（异步）式两种励磁方式。
什么是感应式直线电动机，它对机床的安装、使用和维护有何优势？,感应式直线电动机在不通电时没有磁性，有利于机床的安装、使用和维护。近年来，其性能不断改进，已接近水磁式直线电动机的水平。
直线电动机驱动系统有哪些特点？,直线电动机驱动系统使用直线伺服电动机，电磁力直接作用于运动体（工作台）上，精度取决于反馈系统的检测精度，同时简化了进给系统结构，提高了传动效率。装配全数字伺服系统，可以达到极好的伺服性能，电动机和工作台之间无机械连接，工作台对位置指令几乎是立即反应，从而使得跟随误差减至最小而达到较高的精度。直线电动机驱动系统无机械零件相互接触，无机械磨损，也不需要定期维护，使用多段拼接技术可以满足超长行程机床的要求。直线电动机从根本上消除传动环节，故进给系统的精度高，刚度大，快速性、稳定性好，噪声小或无噪声。
什么是并联机构的高速进给系统？,并联机构的高速进给系统是一种新型进给系统，采用工件固定而由驱动杆带动电主轴相对于工件作进给运动，可以实现高速加工。
传统高速数控铣床的总体结构有什么缺点？,传统高速数控铣床的总体结构采用工件和刀具沿各自导轨共同运动的方案，存在运动部分总质量较大、阻力较大、驱动电动机需要很大功率、机床成本高、发热严重、加工精度受影响、结构复杂、总体刚度低等问题。
并联机床为什么易于达到高进给速度和加速度？,并联机床易于达到高进给速度和加速度，主要得益于其结构特点。并联机床的进给系统与常规机床相比，具有较小的质量，有利于获得高的进给加速度。
并联机构数控机床的进给速度与什么有关，如何提高进给速度？,进给机构为空间并联机构，在驱动电动机速度相同的条件下，可以获得比采用串联结构的常规数控机床更高的进给速度，有利于满足高速、高效加工对进给速度的要求。
并联结构数控机床有什么优点？,并联结构可将传动与支承功能集成为一体，驱动杆既是机床的传动部件，又兼作主轴单元的支承部件。这将有效减少工件—机床—刀具链中的诸多环节，从而消除了这些环节带来的受力变形和热变形，并可减少连接和传动间隙，提高接触刚度，有利于提高机床的综合精度。
并联机构数控机床与常规机床相比，刚度有何提高？,并联机构数控机床的进给系统的主体为并联闭链系统，消除了常规机床中的悬臂结构。经过合理设计，可使各驱动杆和有关部件只承受拉力和压力而不受弯曲力矩，因而使机床总体刚度进一步提高（可比一般数控铣床高5倍左右）。
并联机构数控机床与常规机床相比，导向方式有何不同？,抛弃了传统的固定导轨的刀具导向方式，机床上不存在沿固定导轨运动的直线和旋转工作台以及支承工作台所需的其他部件，因此，消除了由于导轨中的摩擦而产生的阻力，有利于提高进给速度。
并联机构数控机床与常规机床相比，驱动力有何优势？,刀具相对于工件的进给运动是六根驱动杆（6套伺服系统）的共同贡献，而常规机床的进给运动取决于单个伺服系统，因此基于并联机构的进给系统可以获得更大的驱动力，有利于提高加工效率。
并联机床为什么可以成为高速、高效、高柔性加工设备的一个新的发展方向？,并联机床由于其显著优点，使得由并联进给系统构成的并联机床正在成为高速、高效、高柔性加工设备的一个新的发展方向。
并联机床的坐标运动计算为什么极其复杂？,为了实现任何的坐标运动，牵动电主轴的6根轴都必须运动，因此计算极其复杂。
并联机床的滚珠丝杠或直线电动机可以用来做什么？,并联机床的滚珠丝杠或直线电动机可以用来实现6根杆的伸缩。
并联机床的热变形对其加工精度有什么影响？,并联机床的6根杆的长度较大，其热变形对机床的加工精度影响比较严重。
并联机床的加工有效空间与机床本身体积的比例关系是什么？,并联机床的加工有效空间与机床本身体积的比例不相称。
并联机床目前的加工精度如何？,目前这种机床的加工精度还不够高。
并联机床现在处于哪个阶段？,这种新型机床现在还处于研制和试验阶段。
并联机床对工程技术界和相关产业的发展有什么影响？,并联机床的研究、开发和应用对制造技术及相关产业的发展将产生深远的影响。
什么是导向精度，它对导轨有何要求？,导向精度是指机床的动导轨沿支承导轨运动的直线度（对直线运动导轨）或圆度（对圆周运动导轨）。无论空载还是加工，导轨都应具有足够的导向精度。这是对导轨的基本要求。各种铣床对于导轨本身的精度都有具体的规定或标准，以保证导轨的导向精度。
什么是精度保持性，它对导轨有何要求？,精度保持性是指导轨能否长期保持原始精度。影响精度保持性的主要因素是导轨的磨损，此外，还与导轨的结构形式及支承件（如床身）的材料有关。数控铣床的精度保持性要求比普通机床高，应采用摩擦因数小的滚动导轨、塑料导轨或静压导轨。
导轨的刚度要求是什么？,导轨的刚度是指导轨受力后变形程度。若导轨受力后变形过大，不仅破坏了导向精度，而且恶化了导轨的工作条件。导轨的刚度主要决定于导轨类型、结构形式和尺寸大小、导轨与床身的连接方式、导轨材料和表面加工质量等。数控铣床的导轨截面积通常较大，有时还需要在主导轨外添加辅助导轨来提高刚度。
什么是摩擦特性，它对导轨有何要求？,数控铣床导轨的摩擦因数要小，而且动、静摩擦因数应尽量接近，以减小摩擦阻力和导轨热变形，使运动轻便平稳，低速无爬行。此外，导轨结构工艺性要好，便于制造和装配，便于检验、调整和维修，而且有合理的导轨防护和润滑措施等。]
什么是滑动导轨，滑动导轨有哪些优点？,滑动导轨是一种机床上使用最广泛的导轨形式，其优点包括结构简单、制造方便、刚度好、抗振性高等。
滑动导轨的缺点是什么，如何改善其摩擦特性？,滑动导轨的缺点是静摩擦因数大，动摩擦因数随速度变化而变化，摩擦损失大。通过选用合适的导轨材料和采用相应的热处理及加工方法，可以提高滑动导轨的耐磨性和改善其摩擦特性。
什么是镶粘塑料导轨，它有哪些特点？,镶粘塑料导轨是在滑动导轨面上镶粘一层由多种成分复合的塑料导轨软带，可以满足机床对导轨的低摩擦、耐磨、无爬行、高刚度的要求。其特点包括生产成本低、应用工艺简单、经济效益显著、摩擦因数小、动、静摩擦因数差很小、耐磨性、抗撕伤能力强、加工性和化学稳定性好、自润滑和抗振性好等。
镶粘塑料导轨通常用于哪种类型的机床？,镶粘塑料导轨通常在数控铣床上得到广泛应用。
常用的塑料导轨软带主要有哪些种类？,答：常用的塑料导轨软带主要有两种。一种是以聚四氟乙烯（PTFE）为基体，通过添加不同的填充料构成的高分子复合材料。另一种是以环氧树脂为基体，加入MoS2、石墨、TiO2等制成的抗磨涂层材料。
为什么需要在聚四氟乙烯中添加填充料？,答：纯聚四氟乙烯不耐磨，因此需要添加663青铜粉、石墨、MoS2、铅粉等填充料增加耐磨性。
常用的塑料导轨软带有哪些特点？,答：这种导轨软带具有良好的抗磨、减摩、吸振、消声性能；适用的工作温度范围广（-200～280℃）；动、静摩擦因数小，且两者之差很小；可以在干摩擦下应用；并且能吸收外界进入导轨面的硬粒，使导轨不致拉伤和磨损。
塑料导轨软带的厚度范围是多少？,答：这种材料常被做成厚度为0.1～2.5mm的塑料软带形式，粘接在导轨基面上。
以环氧树脂为基体的抗磨涂层材料可以采用哪些工艺涂到导轨上？,答：这种涂料附着力强，可用涂敷工艺或压注成形工艺涂到预先加工成锯齿形状的导轨上，涂层厚度为1.5～2.5mm。
塑料涂层导轨主要使用在哪些机床上？,答案：塑料涂层导轨主要使用在大型和重型机床上。
滚动导轨是如何工作的？,答案：滚动导轨是在导轨面之间放置滚珠、滚柱、滚针等滚动体，使导轨面之间的滑动摩擦变成滚动摩擦。
滚动导轨的优点是什么？,答案：滚动导轨与滑动导轨相比的优点是灵敏度高，动摩擦因数与静摩擦因数相差甚微，运动平稳，低速移动时不易出现爬行现象，定位精度高，重复定位精度可达0.2μm，摩擦阻力小，移动轻便，磨损小，精度保持性好，寿命长，但滚动导轨的抗振性较差，对防护要求较高。
静压导轨的工作原理是什么？,答案：静压导轨的滑动面之间开有油腔，将一定量的油通过节流输入油腔，形成压力油膜，浮起运动部件，使导轨工作表面处于纯液体摩擦，不产生磨损，精度保持性好，同时，摩擦因数也极低（0.0005），使驱动功率大大降低，低速无爬行，承载能力大，刚度好，另外，油液有吸振作用，抗振性好。
静压导轨的缺点是什么？,答案：静压导轨的缺点是结构复杂，要有供油系统，油的清洁度要求高。
静压导轨横截面的几何形状一般有哪两种？,答案：静压导轨横截面的几何形状一般有V形和矩形两种。
油腔的结构对静压导轨性能影响大吗？,答案：油腔的结构对静压导轨性能影响很大。
什么是滚动直线导轨副的结构原理，它由哪些部分组成？,滚动直线导轨副的结构原理如图2—38所示，由导轨、滑块、钢球、反向器、密封端盖及挡板等部分组成。当导轨与滑块作相对运动时，钢球就沿着导轨上经过淬硬并精密磨削加工面成的4条滚道滚动；在滑块端部，钢球通过反向器反向，进入回珠孔后再返回到滚道，钢球就这样周而复始地进行滚动运动。反向器两端装有防尘密封端盖，可有效地防止灰尘、屑末进入滑块内部。
滚动导轨有哪些结构形式，滚珠导轨和滚柱导轨有何特点？,滚动导轨有滚珠导轨、滚柱导轨和滚针导轨三种结构形式。滚珠导轨承载能力小，刚度低，常采用淬火钢制造导轨面；滚柱导轨承载能力和刚度都比滚珠导轨大，但对于安装的偏斜反应大，支承的轴线与导轨的平行度偏差不大时也会引起偏移和侧向滑动，这样会使导轨磨损加快或降低精度。滚柱导轨适用于载荷较大的机床，如数控铣床。
什么类型的导轨适用于尺寸受限制的机床上？,滚针导轨适用于导轨尺寸受限制的机床上。
滚动导轨可以分为哪两类？,滚动导轨可分为预加负载和不预加负载两类。
预加负载的滚动导轨适用于哪些场合？,预加负载的滚动导轨适用于颠覆力矩较大和垂直方向的导轨中，数控铣床常采用这种导轨。
滚动导轨的计算依据是什么？,滚动导轨的计算以在一定的载荷下行走一定的距离，90％的支承不发生点蚀为依据。
静压导轨的工作原理是什么？,静压导轨是将具有一定压力的油液，经节流器输送到导轨面上的油腔中，形成承载油膜，将相互接触的导轨表面隔开，实现液体摩擦。
液压泵的压力油经过什么设备后压力会降低？,经过节流器后压力会降至p。
导轨面间的油膜厚度为多少？,导轨面间的油膜厚度为h。
当运动导轨受到外载荷W时，会发生什么情况？,运动导轨向下产生一个位移，导轨间隙由A降为h（h＜ho），使油腔回油阻力增大，油腔中压力也相应增大变为po（po＞pi）。
闭式静压导轨的工作原理是什么？,闭式静压导轨各方向导轨面上都开有油腔，当受到颠覆力矩或垂直载荷作用时，油腔间隙会相应改变，节流器的作用会使油腔压力调整，形成与颠覆力矩或外载荷相反的作用力或力矩，使工作台恢复平衡。
什么是气浮导轨，它有什么优点？,气浮导轨是以空气为介质的空气静压导轨，摩擦力低且有良好的冷却作用，可以减小热变形。
数控铣床回转工作台的作用是什么？,数控铣床回转工作台用于在圆周方向实现工作台的进给分度运动和进给运动，完成零件的复杂空间曲面加工。
数控回转工作台由哪些部分组成？,数控回转工作台由传动系统、间隙消除装置、蜗轮夹紧装置等组成。
数控回转工作台如何响应数控系统的指令？,当数控回转工作台接到数控系统的指令后，首先把蜗轮松开，然后启动电液脉冲马达，根据指令脉冲确定工作台的回转方向、回转速度和回转角度大小等参数。
图2-44所示的数控回转工作台是哪个型号卧式数控镗铣床的？,图2-44所示的数控回转工作台是JCS-013型卧式数控镗铣床的。
电液脉冲马达驱动什么部件使工作台回转？,工作台的运动由电液脉冲马达1驱动，经齿轮2和4带动蜗杆9，通过蜗轮10使工作台回转。
如何调整齿轮2和齿轮4相啮合的侧隙？,齿轮2和齿轮4相啮合的侧隙是靠调整偏心环3来消除的。
齿轮4与蜗杆9如何连接？,齿轮4与蜗杆9是靠楔形拉紧圆柱销5（A—A剖面）来连接的。
如何消除蜗杆副的传动间隙？,为了消除蜗杆副的传动间隙，采用了双螺距渐厚蜗杆，通过移动蜗杆的轴向位置来调整间隙。
蜗杆有轴向移动调整量是多少？,蜗杆有10mm的轴向移动调整量。
夹紧液压缸14如何使工作台夹紧？,当工作台不回转时，夹紧液压缸14的上腔进压力油，使活塞15向下运动，通过钢球17、夹紧瓦13及12将蜗轮10夹紧。
什么是数控回转工作台的零点返回功能？,当数控回转工作台作返回零点运动时，首先由安装在蜗轮上的撞块碰撞限位开关，使工作台减速；再通过感应块和无触点开关，使工作台准确地停在零点位置上。
数控回转工作台的分度精度可以达到多少？,该数控回转工作台可作任意角度的回转和分度，由光栅进行读数控制。光栅在圆周上有21600条刻线，通过6倍频电路，使刻度分辨能力为10°，因此，工作台的分度精度可达±10°。
分度工作台可以完成哪些运动？,分度工作台只能完成分度运动，而不能实现圆周进给运动。它在需要分度时，按照数控系统的指令，将工作台及其工件回转规定的角度，以改变工件相对于主轴的位置，完成工件各个表面的加工。
分度工作台按其定位机构的不同分为哪两类？,分度工作台按其定位机构的不同分为定位销式和鼠牙盘式两类。前者的定位分度主要靠工作台的定位销和定位孔来实现，分度的角度取决于定位孔在圆周上分布的数量。鼠牙盘式分度工作台是利用一对上下啮合的齿盘，通过上下齿盘的相对旋转来实现工作台的分度，分度的角度范围依据齿盘的齿数而定。
什么是THK6380型卧式数控镗铣床的定位销式分度工作台，它如何实现定位分度？,THK6380型卧式数控镗铣床的定位销式分度工作台的定位分度主要靠定位销和定位孔来实现。分度工作台嵌在长方工作台之中，在不单独使用分度工作台时，两个工作台可以作为一个整体使用。在分度工作台的底部均匀分布着8个圆柱定位销，在底座上有一个定位孔衬套及供定位销移动的环形槽，只有一个圆柱定位销进入定位孔衬套中，其他7个圆柱定位销都在环形槽中。因为圆柱定位销之间的分布角度为45°，故只能实现45°等分的分度。
支座4在分度工作台中起到什么作用？,支座4在分度工作台中起到上升或下降移动并作为另一端的回转支承的作用，支座4内还装有端面滚柱轴承，使分度工作台回转很平稳。
定位销式分度工作台的定位精度取决于哪些因素，最高精度可达多少？,定位销式分度工作台的定位精度取决于定位销和定位孔的精度，最高可达±5”。
辅助装置在数控铣床中起到什么作用？,辅助装置在数控铣床中起到延长数控铣床的使用寿命和周期、提高切削加工效率、保证数控铣床正常运行的重要作用。
什么是数控铣床冷却系统的主要组成部分？,数控铣床冷却系统主要分为机床冷却和切削时对刀具和工件的冷却两部分。
机床冷却和温度控制对数控铣床有何重要性？,为了尽早收回成本、充分发挥数控铣床的作用，工厂通常要求采取24h不停机连续工作制。为了保证长时间工作机床加工精度的一致性、电气及控制系统的工作稳定性和机床的使用寿命，数控铣床对环境温度和各部分的发热、冷却及温度控制均有相应的要求。
环境温度对数控铣床加工精度和工作稳定性有何影响？,环境温度对数控铣床加工精度和工作稳定性有不可忽视的影响。对精度要求较高和整批零件尺寸一致性要求较高的加工，应保持数控铣床工作环境的恒温。
数控铣床对工作环境温度有何要求？,一般数控铣床（半闭环控制，最小分辨率在0.001mm级）对工作环境温度的要求为0～45℃，环境温度变化不大于1.1℃/min。
电控系统对数控铣床的正常工作有何重要性？,电控系统是整台机床的控制核心，其工作时的可靠性及稳定性对数控铣床的正常工作起着决定性作用。
电控系统工作时如何进行热量的扩散？,数控铣床的电控系统一般采用在发热量大的元器件上加装散热片与采用风扇强制循环通风的方式进行热量的扩散，降低整个电控系统的温度。
什么是电控箱冷气机的作用？,专门的电控箱冷气机用于对数控铣床的电控系统的温度和湿度进行调节。
主轴部件及传动机构为什么需要温度控制装置？,主轴部件及传动机构是数控铣床最主要的发热源。如果工作时温度过高，很容易导致润滑油黏度降低、轴承胶合磨损破坏等后果。
主轴温控机的工作原理是什么？,主轴温控机通过循环液压泵将主轴头内的润滑油抽出，经过过滤器过滤后送入主轴头内。温度传感器检测润滑油液的温度，并将温度信号传给温控机控制系统。控制系统根据操作人员预设的温度值来控制冷却器的开停。
冷却润滑系统的工作状态如何与数控系统PLC进行交互？,冷却润滑系统的工作状态由压力继电器检测，并将此信号传送到数控系统的PLC。数控系统将主轴传动系统及主轴的正常润滑作为主轴系统工作的充要条件。如果压力继电器无信号发出，数控系统PLC会发出报警信号并禁止主轴启动。
什么是温控机操作面板，它的作用是什么？,温控机操作面板是温控机的一部分，操作人员可以设定油温和室温的差值，并通过面板上的循环液压泵、冷却机工作、故障等多个指示灯识别温控机的工作状态。
在数控铣床中，为什么工件切削冷却具有重要意义？,在数控铣床中，工件切削冷却具有重要意义，因为它可以降低刀具、工件和机床的温度，延长刀具寿命，提高工件加工质量和机床精度。
如何控制数控铣床的切削冷却？,数控铣床的切削冷却可以通过两条管道喷射切削液，根据加工程序的要求或通过手动操作切削液开/停按钮进行控制。
什么是主轴中央通水和内冷却刀具，它们的作用是什么？,主轴中央通水和内冷却刀具是提高冷却效果的方式。主轴中央通水是通过主轴内部输送冷却液，对主轴和刀具进行冷却。内冷却刀具是通过刀具内部输送冷却液，直接对切削区域进行冷却。
什么是润滑系统在数控铣床中的作用？,润滑系统在数控铣床中主要有以下几个方面的作用：减小摩擦、减小磨损、降低温度、防止锈蚀和形成密封。
润滑系统有哪两种类型？,数控铣床的润滑按照其工作方法一般分为分散润滑和集中润滑两种。
分散润滑是什么？,分散润滑是指在数控铣床的各个润滑点用独立、分散的润滑装置进行润滑。
集中润滑是什么？,集中润滑是指利用一个统一的润滑系统对多个润滑点进行润滑。
机床上的润滑可以分为哪两种？,按照润滑介质的不同，机床上的润滑又可以分为油润滑和脂润滑两种。
油润滑有哪些类型？,油润滑又分为滴油润滑、油浴润滑（包括溅油润滑和油池润滑）、油雾润滑、循环油润滑及油气润滑等。
为什么润滑对数控铣床的运动部件很重要？,润滑对提高各相对运动件的寿命、保持良好的动态性能和运动精度具有较大的意义。
数控铣床中采用了什么样的润滑方式？,在数控铣床中通常采用分散润滑与集中润滑、油润滑与脂润滑相结合的综合润滑方式。
数控铣床的润滑系统主要包括哪些部件？,润滑系统主要包括主轴传动部分、轴承、丝杠和导轨等部件的润滑。
数控铣床主轴传动部分的润滑方式是什么？,主轴传动部分采用润滑油强制循环的方式进行润滑，并完成对主轴系统的冷却。
对主轴传动部分的润滑系统有什么要求？,润滑系统对油的过滤要求较为严格，需要采用沉淀、过滤、磁性精过滤等手段保持油的洁净，并定期清理更换油。
轴承、丝杠和导轨的润滑方式取决于什么？,轴承、丝杠和导轨的润滑方式取决于数控铣床的工作状况及结构要求。
当负载不大、极限转速或移动速度不高时，数控铣床一般采用什么润滑方式？,一般采用脂润滑，可以减少设置专门的润滑系统，避免润滑油的泄漏污染和废油的处理，同时脂润滑具有一定的密封作用，降低外部灰尘、水汽等对轴示、丝杠和导轨副的影响。
对于一些负载较大、极限转速或移动速度较高的数控铣床，通常采用什么润滑方式？,油润滑。
润滑数控铣床的轴承、丝杠和导轨部位时，需要注意什么？,必须保持润滑介质的洁净无污染，并按照相应润滑介质要求和工况定期地清理润滑元件，更换或补充润滑介质。
数控铣床为什么要具有排屑装置？,为了数控铣床的自动加工顺利进行和减少数控铣床的发热。
排屑装置应从切屑中分离出什么并将它们送入切屑收集箱内？,切屑。
切削液排屑装置应将切削液回收到哪里？,切削液箱。
平板链式排屑装置如何工作？,该装置以滚动链轮牵引钢质平板链带在封闭箱中运转，切屑用链带带出机床。
刮板链式排屑装置常用于输送什么类型的切屑？,刮板链式排屑装置常用于输送各种材料的短小切屑。
螺旋式排屑装置如何工作？,该装置是利用电机经减速装置驱动安装在沟槽中的一根绞笼式螺旋杆进行工作的，螺旋杆工作时，沟槽中的切屑即由螺旋杆推动连续向前运动，最终排入切屑收集箱。
什么是位置环，它由哪些部分组成？,位置环是由CNC装置中的位置控制模块、速度控制单元、位置检测及反馈控制等部分组成，用于对机床运动坐标进行控制。
轴控制是什么，为什么它对位置控制的要求最高？,轴控制是对机床运动坐标的控制，由于其对位置控制的精度要求最高，因此被认为是最重要的位置控制。
何服系统有哪些分类方式？,何服系统可以根据使用的驱动装置分类为电液伺服系统和电气伺服系统；根据使用直流伺服电机或交流伺服电机分类为直流伺服系统和交流伺服系统；根据反馈比较控制方式分类为脉冲数字比较伺服系统、相位比较伺服系统、幅值比较伺服系统及全数字伺服系统；根据有无位置检测和反馈进行分类为开环伺服系统、闭环伺服系统和半闭环伺服系统。
开环伺服系统的特点是什么，它主要使用什么驱动装置？,开环伺服系统是最简单的进给伺服系统，其最主要的特点是无位置反馈，伺服驱动装置主要是步进电机、功率步进电机、电液脉冲马达等。
开环伺服系统的工作原理是什么，如何实现位置控制？,开环伺服系统是由步进电机及其驱动线路等组成，通过数控系统发出指令脉冲，经驱动电路和功率放大后，使步进电机转动，通过齿轮副与滚珠丝杠螺母副驱动执行部件。转角的大小由指令脉冲数所决定。
什么是伺服进给系统的基本要求？,伺服进给系统的基本要求包括精度要求和响应速度。
如何选用伺服驱动系统？,在实际中，必须根据机床的要求来确定伺服驱动系统，主要考虑精度要求和响应速度。对于低档型数控系统，驱动控制精度一般为0.01mm；而对于高性能数控系统，驱动控制精度为1μm，甚至为0.1μm。同时，需要有良好的快速响应特性，即要求跟踪指令信号的响应要快。
什么是闭环伺服系统？,闭环伺服系统由伺服电机、检测装置、比较电路、伺服放大系统等部分组成。闭环伺服系统根据来自检测装置的反馈信号与指令信号比较的结果进行速度和位置的控制，对部分数控机床来说，其检测反馈信号是从伺服电机轴或滚珠丝杠上取得的。
什么是半闭环系统？,对高精度或大型机床，直接从安装在工作台等移动部件上的检测装置中取得反馈信号。为区别两者，前者称为半闭环系统。半闭环系统中的转角测量比较容易实现，但由于后继传动链传动误差的影响，测量补偿精度比闭环系统差。
什么是闭环系统的优点和缺点？,闭环系统通过直接测量工作台等移动部件的位移，从而实现精度高的反馈控制。但这种测量装置的安装及调整都比较复杂且不易保养，相比之下，半闭环系统中的转角测量就比较容易实现。
什么是调速范围，它在数控机床中的作用是什么？,调速范围是指生产机械要求电机能提供的最高转速和最低转速之比，在数控机床中为保证在任何情况下都能得到最佳切削条件，进给驱动系统必须具有足够宽的调速范围。
在数控机床的加工中，为什么需要低速、大转矩的进给驱动系统？,根据机床的加工特点，经常在低速下进行重切削，即在低速下进给驱动系统必须有大的转矩输出。
什么是伺服电机，它包括哪些类型？,伺服电机主要包括步进电机、直流伺服电机、交流伺服电机和直线电机。
步进电机一般用于哪些场合？,步进电机一般用于开环系统，用于普通机床的数控改造，以及对精度要求较低的场合。
步进电机的工作原理是什么？,步进电机的工作原理是通过被励磁的定子电磁力吸引转子偏转输出转矩，它的理论依据是电磁作用原理。
什么部件按顺序轮流通电以产生磁场并使转子转动？,答：定子绕组按顺序轮流通电以产生磁场，并每次对转子的某一对齿产生电磁转矩，使它转动。
当转子的某一对齿的中心线与定子磁极的中心对齐时，会发生什么情况？,答：当转子的某一对齿的中心线与定子磁极的中心对齐时，磁阻最小，转矩为零。
什么是步进电机每步转过的角度？,答：步进电机每步转过的角度称为步距角。
在图3-2中，设A相通电，会发生什么情况？,答：设A相通电，转子的1，3两齿被磁极A产生的电磁转矩吸引转动，当1、3齿与A对齐时，转动停止。
什么是单三拍方式？,答：单三拍方式是指定子按A—B—C—A···顺序通电，转子就一步步地按逆时针方向转动，每步转30°，若改变通电顺序，按A—C—B—A···顺序通电，步进电机就按顺时针方向转动，同样每步转30°。
为什么实际中不采用单三拍控制方式？,答：由于每次只有一相绕组通电，在切换瞬间电机失去自锁转矩，容易失步；此外，只有一相绕组通电吸引转子，易在平衡位置附近产生振荡。
